Food_Item,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Calcium_mg,Iron_mg,Vitamin_C_mg,health_benefits,intake_methods,Key_Vitamin,Key_Vitamin_Value,Key_Vitamin_Unit,Vitamin_Explanation
Cow Milk,73,3.26,4.48,4.94,120.0,0.1,2.01,"Rich in calcium and protein for strong bones, teeth, and muscle maintenance; supports hydration and growth.","Drink warm or cold directly, add to oats, turmeric milk, tea, coffee, or smoothies.",Vitamin B2 (Riboflavin),0.18,mg,"Cow milk is a primary source of riboflavin (vitamin B2), essential for cellular respiration and converting food into energy."
Dark Chocolate,598,7.8,42.6,45.9,73.0,11.9,0.0,"High in powerful flavonoids and antioxidants; supports heart health, blood flow, and enhances cognitive mood.","Eat 1-2 small squares (15-20g) directly, grate over oatmeal, or melt into healthy dessert bowls.",Vitamin E,0.59,mg,"Dark chocolate provides fat-soluble vitamin E alongside rich cocoa flavanol antioxidants."
Curd,61,3.5,3.5,4.7,149.0,0.1,1.0,"Natural probiotic that aids digestion, improves gut microbiota, boosts immunity, and strengthens bone density.","Consume fresh with meals, prepare raita, curd rice, or eat as plain bowl with lunch.",Vitamin B12,0.40,µg,"Curd/Dahi provides bioactive vitamin B12 synthesized through lactic acid fermentation, supporting gut and nerve health."
Buttermilk,19,1.5,0.5,2.4,70.0,0.05,0.5,"Excellent natural coolant, hydrates body, soothes stomach acidity, and facilitates post-meal digestion.","Drink chilled after meals spiced with ginger, green chilli, cumin powder, curry leaves, and salt.",Vitamin B2 (Riboflavin),0.16,mg,"Spiced buttermilk delivers riboflavin (vitamin B2) in an easily digestible, cooling probiotic electrolyte matrix."
Paneer,265,18.3,20.8,1.2,208.0,0.2,0.0,"High-quality vegetarian protein and calcium source; strengthens bone density, fuels muscle repair, and prolongs satiety.","Pan-sear with spices, add to palak paneer, tikka, salads, or grill with vegetables." ,Vitamin A,60.0,µg,"Paneer provides preformed fat-soluble vitamin A (retinol) and concentrated milk protein for tissue renewal."
Butter,717,0.85,81.1,0.06,24.0,0.02,0.0,"Concentrated source of healthy fat-soluble vitamins (A, D, E) and butyric acid; supports cell membrane integrity.","Spread thinly on warm rotis, toast, parathas, or use lightly for tempering traditional gravies.",Vitamin A,684.0,µg,"Butter is naturally rich in preformed vitamin A (retinol) dissolved in healthy dairy milk fats for eye and skin health."
Ghee,900,0.0,99.5,0.0,0.0,0.0,0.0,"Pure clarified butter containing butyrate and omega fatty acids; lubricates joints, aids nutrient absorption, and boosts energy.","Add 1 teaspoon to hot rice, dal, rotis, or use for herbal Ayurvedic preparations.",Vitamin A,750.0,µg,"Pure desi ghee is a concentrated source of fat-soluble vitamin A and butyric acid, supporting gut lining integrity."
Greek Yogurt,97,9.0,5.0,3.9,110.0,0.1,0.0,"Strained high-protein yogurt packed with live probiotics; supports muscle recovery, gut microbiome, and sustained energy.","Eat as breakfast bowl topped with berries and nuts, use as healthy sour cream substitute, or mix into dips.",Vitamin B12,0.75,µg,"Greek yogurt provides concentrated vitamin B12 and high protein for red blood cell production and nerve maintenance."
Lassi,89,2.8,2.5,13.8,105.0,0.1,0.5,"Traditional yogurt-based refresher; replenishes gut bacteria, cools the body, and provides quick wholesome energy.","Drink chilled as mid-day summer cooler, lightly sweetened or spiced with cardamom and saffron.",Vitamin B2 (Riboflavin),0.15,mg,"Lassi delivers riboflavin (vitamin B2) along with probiotics and calcium for sustained refreshment."
Egg (Whole),143,12.56,9.51,0.72,56.0,1.75,0.0,"Gold-standard complete protein containing all 9 essential amino acids, choline, and B12; supports muscle repair and brain function.","Boiled, poached, scrambled with veggies, or prepared as traditional egg curry / omelette.",Vitamin B12,1.11,µg,"Whole eggs are a complete nutritional package offering bioavailable vitamin B12, choline, and fat-soluble vitamins."
