Food_Item,Scientific_Name,IFCT_Code,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Calcium_mg,Iron_mg,Vitamin_C_mg,Potassium_mg,health_benefits,intake_methods,Key_Vitamin,Key_Vitamin_Value,Key_Vitamin_Unit,Vitamin_Explanation
Tomato (Ripe Local),Solanum lycopersicum,D076,20,0.9,0.47,2.71,1.77,10.17,0.3,27.47,182.0,"Packed with lycopene, lutein, and Vitamin C; supports cardiovascular health, lowers LDL oxidation, and protects skin against UV damage.","Raw in salads, blended into rasam/soup, cooked in curries and gravies, or sautéed with vegetables.",Vitamin C,27.47,mg,"Tomatoes are rich in vitamin C and carotenoid lycopene, promoting skin collagen and cardiovascular protection."
Potato (Brown Skin),Solanum tuberosum,F006,70,1.54,0.23,14.89,1.71,15.51,0.5,23.15,386.0,"High in easily digestible complex carbohydrates, resistant starch, and potassium; replenishes cellular glycogen and supports bowel motility.","Boiled, baked, steamed with skin, or cooked in vegetable poriyal and curries (avoid deep frying).",Vitamin B6,0.30,mg,"Potatoes are an important source of vitamin B6 and potassium, supporting cellular energy and electrolyte balance."
Carrot (Orange),Daucus carota,F002,33,0.95,0.47,5.55,4.18,24.04,0.48,6.22,244.0,"Extremely rich in beta-carotene (provitamin A) and lutein; protects eye retinas, enhances nighttime vision, and promotes glowing skin.","Eat crunchy raw slices, drink fresh carrot juice with a drop of cold-pressed oil, or add to sambar, poriyal, and salads.",Vitamin A (Beta-Carotene),8285,µg,"Carrots are exceptionally rich in beta-carotene, which the human body converts into active vitamin A for visual health."
Beetroot,Beta vulgaris,F001,36,1.95,0.14,6.18,3.31,97.37,0.76,5.26,312.0,"High in natural dietary nitrates and betalain pigments; increases nitric oxide production, lowers blood pressure, and improves endurance.","Grate raw into salads, steam/roast cubes for poriyal, or drink freshly extracted beetroot-amla juice.",Vitamin B9 (Folate),109.0,µg,"Beetroot is a rich vegetable source of folate (vitamin B9), essential for normal blood formation and cellular growth."
Onion (Big),Allium cepa,F005,48,1.2,0.18,9.74,2.37,42.41,0.7,8.5,148.0,"Rich in quercetin bioflavonoids and sulfur compounds; combats systemic inflammation, aids insulin response, and supports gut microbes.","Eat raw thinly sliced in raita/salads, sauté gently as base for gravies, or pickle with vinegar and beetroot.",Vitamin C,8.5,mg,"Onions provide dietary vitamin C and flavonoid quercetin, supporting cellular antioxidant defense."
Garlic,Allium sativum,F003,125,7.06,0.52,22.04,2.83,30.34,1.03,5.18,485.0,"Potent source of bioactive allicin and diallyl sulfides; lowers blood pressure, optimizes lipid profiles, and delivers antimicrobial effects.","Crush or mince fresh cloves and let sit for 5 minutes before cooking, roast whole bulbs, or add to rasam and soups.",Vitamin B6,1.24,mg,"Garlic is remarkably dense in vitamin B6 and organosulfur compounds like allicin, supporting cardiovascular wellness."
Brinjal / Eggplant,Solanum melongena,D006,25,1.4,0.3,4.0,3.4,18.0,0.38,12.0,200.0,"Packed with nasunin anthocyanins and chlorogenic acid; protects brain cell membranes against lipid peroxidation and aids lipid balance.","Roast whole for baingan bharta/ennai kathirikai, steam cubes in sambar/kootu, or stir-fry lightly with spices.",Vitamin B9 (Folate),22.0,µg,"Brinjal supplies dietary folate and nasunin anthocyanins in its purple skin for brain and cellular protection."
Okra / Ladies Finger,Abelmoschus esculentus,D046,35,1.9,0.2,7.0,3.2,82.0,0.62,23.0,299.0,"High in soluble mucilage fiber and polyphenols; binds dietary cholesterol, stabilizes post-meal blood glucose spikes, and lubricates gut.","Sauté dry with mild spices (vendakkai poriyal), cook in tangy tamarind gravy (vatha kulambu), or grill with herbs.",Vitamin K,31.3,µg,"Okra is rich in vitamin K and soluble mucilage fiber, promoting bone mineralization and smooth digestion."
Cauliflower,Brassica oleracea var. botrytis,D019,25,1.9,0.3,5.0,2.0,22.0,0.42,48.2,299.0,"Rich in sulforaphane, choline, and glucosinolates; aids cellular defense, promotes liver detoxification, and supports brain neurotransmission.","Steam lightly to preserve nutrients, roast florets with turmeric, grate into low-carb cauliflower rice, or add to kurma.",Vitamin C,48.2,mg,"Cauliflower provides a substantial amount of vitamin C and glucosinolates for cellular protection."
Broccoli,Brassica oleracea var. italica,D014,34,2.8,0.4,6.6,2.6,47.0,0.73,89.2,316.0,"Superfood loaded with sulforaphane, indole-3-carbinol, and Vitamin C; strongly suppresses oxidative stress and supports hormone balance.","Steam lightly for 3-4 minutes to activate enzymes, toss in olive oil and garlic stir-fry, or blend into creamy soups.",Vitamin K,101.6,µg,"Broccoli is an outstanding source of vitamin K and sulforaphane, vital for bone health and cellular defense."
