Food_Item,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Calcium_mg,Iron_mg,Vitamin_C_mg,health_benefits,intake_methods
Cow Milk,73,3.26,4.48,4.94,120.0,0.1,2.01,"Rich in calcium and protein for strong bones, teeth, and muscle maintenance; supports hydration and growth.","Drink warm or cold directly, add to oats, turmeric milk, tea, coffee, or smoothies."
Dark Chocolate,598,7.8,42.6,45.9,73.0,11.9,0.0,"High in powerful flavonoids and antioxidants; supports heart health, blood flow, and enhances cognitive mood.","Eat 1-2 small squares (15-20g) directly, grate over oatmeal, or melt into healthy dessert bowls."
Curd,61,3.5,3.5,4.7,149.0,0.1,1.0,"Natural probiotic that aids digestion, improves gut microbiota, boosts immunity, and strengthens bone density.","Consume fresh with meals, prepare raita, curd rice, or eat as plain bowl with lunch."
Buttermilk,19,1.5,0.5,2.4,70.0,0.05,0.5,"Excellent natural coolant, hydrates body, soothes stomach acidity, and facilitates post-meal digestion.","Drink chilled after meals spiced with ginger, green chilli, cumin powder, curry leaves, and salt."
Paneer,305,18.86,24.78,2.41,480.0,0.2,0.0,Dense vegetarian protein source for muscle growth and repair; rich in bioavailable calcium and phosphorus.,"Raw cubes in salads, grilled/tandoori paneer, stir-fried with vegetables, or cooked in curries."
Butter,717,0.6,81.0,0.4,24.0,0.05,0.0,"Contains fat-soluble vitamins (A, D, E, K) and short-chain fatty acids (butyrate) supporting cellular health in moderation.","Spread lightly on toasted whole grain bread, roti, paratha, or use in moderate cooking."
Ghee,884,0.0,99.5,0.0,1.0,0.0,0.0,"Rich in butyric acid promoting gut lining health, enhances fat-soluble nutrient absorption, high smoke point for safe cooking.","Add 1 teaspoon over warm rice, dal, or roti; use as a healthy cooking fat in moderation."
Greek Yogurt,97,9.5,5.0,3.8,110.0,0.1,0.0,"High protein content enhances satiety, supports muscle recovery, and provides active probiotic cultures.","Eat as high-protein snack topped with nuts and berries, or blend into fruit smoothies."
Lassi,85,2.8,3.0,11.5,105.0,0.1,0.8,"Refreshing probiotic drink that provides quick energy, electrolytes, and digestive support during warm weather.","Serve cold as sweet lassi with cardamom/rose essence, mango lassi, or salted lassi as a refreshing mid-day drink."
Egg (Whole),135,13.28,9.15,0.77,53.0,1.8,0.0,"Complete protein with all essential amino acids; rich in choline for brain health, lutein/zeaxanthin for eye health, and vitamin B12.","Boiled, poached, scrambled, sunny-side up, or prepared as omelettes and egg curries."
