Food_Item,Scientific_Name,IFCT_Code,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Calcium_mg,Iron_mg,Vitamin_C_mg,Potassium_mg,health_benefits,intake_methods
Tomato (Ripe Local),Solanum lycopersicum,D076,20,0.9,0.47,2.71,1.77,10.17,0.3,27.47,182.0,"Packed with lycopene, lutein, and Vitamin C; supports cardiovascular health, lowers LDL oxidation, and protects skin against UV damage.","Raw in salads, blended into rasam/soup, cooked in curries and gravies, or sautéed with vegetables."
Potato (Brown Skin),Solanum tuberosum,F006,70,1.54,0.23,14.89,1.71,15.51,0.5,23.15,386.0,"High in easily digestible complex carbohydrates, resistant starch, and potassium; replenishes cellular glycogen and supports bowel motility.","Boiled, baked, steamed with skin, or cooked in vegetable poriyal and curries (avoid deep frying)."
Carrot (Orange),Daucus carota,F002,33,0.95,0.47,5.55,4.18,24.04,0.48,6.22,244.0,"Extremely rich in beta-carotene (provitamin A) and lutein; protects eye retinas, enhances nighttime vision, and promotes glowing skin.","Eat crunchy raw slices, drink fresh carrot juice with a drop of cold-pressed oil, or add to sambar, poriyal, and salads."
Beetroot,Beta vulgaris,F001,36,1.95,0.14,6.18,3.31,97.37,0.76,5.26,312.0,"High in natural dietary nitrates and betalain pigments; increases nitric oxide production, lowers blood pressure, and improves endurance.","Grate raw into salads, steam/roast cubes for poriyal, or drink freshly extracted beetroot-amla juice."
Onion (Big),Allium cepa,G017,48,1.5,0.24,9.56,2.45,28.88,0.6,6.69,127.0,"Abundant in quercetin flavonoids and organosulfur compounds; acts as natural prebiotic, lowers cholesterol, and fights microbial growth.","Finely chop into raita, sauté as aromatic base for gravies/sambars, or pickle lightly in lemon juice."
Garlic,Allium sativum,G011,124,6.92,0.16,21.93,5.22,85.77,1.2,12.62,401.0,"Potent medicinal bulb rich in allicin; reduces arterial plaque, lowers systolic blood pressure, and boosts innate immunity.","Crush 1-2 raw cloves and swallow with warm water in morning, add minced to rasam, tadka, or roasted in olive oil."
Brinjal / Eggplant,Solanum melongena,D031,25,1.48,0.32,3.52,3.98,16.59,0.37,2.09,247.0,Contains nasunin (a potent purple skin antioxidant) and chlorogenic acid; protects brain cell membranes and aids glucose regulation.,"Roast whole for baingan bharta/ennai kathirikai, stir-fry with spices for poriyal, or cook in sambar."
Okra / Ladies Finger,Abelmoschus esculentus,D056,27,2.08,0.22,3.62,4.08,86.12,0.84,22.51,263.0,"High in viscous mucilage fiber and folate; coats gastrointestinal tract, lowers blood sugar absorption, and aids cholesterol elimination.","Pan-roast with mild spices to reduce sliminess (vendakkai poriyal), cook in spicy tamarind gravy (kara kulambu), or lightly steam."
Cauliflower,Brassica oleracea var. botrytis,D036,23,2.15,0.44,2.03,3.71,25.16,0.96,47.14,329.0,"Rich in glucosinolates, isothiocyanates, and choline; supports Phase-II liver detoxification, cellular defense, and brain development.","Steam florets lightly, roast with turmeric and cumin, grate as low-carb cauliflower rice, or prepare kootu."
Broccoli,Brassica oleracea var. italica,Ref (USDA/FDC),34,2.82,0.37,6.64,2.6,47.0,0.73,89.2,316.0,"Powerhouse of sulforaphane, indole-3-carbinol, and Vitamin K; combats oxidative stress, reduces systemic inflammation, and supports heart health.","Steam florets for 3-4 minutes to preserve sulforaphane, toss in garlic stir-fries, or blend into creamy vegetable soups."
Cabbage (Green),Brassica oleracea var. capitata,C015,22,1.36,0.12,3.25,2.76,51.76,0.35,33.25,233.0,"Contains glutamine, Vitamin U, and sulfur compounds; accelerates gastric ulcer healing, supports digestive flora, and strengthens bones.","Shred raw for coleslaws/salads, steam with moong dal for kootu/poriyal, or ferment into homemade sauerkraut."
Cucumber (Green),Cucumis sativus,D043,20,0.71,0.16,3.48,2.14,16.39,0.46,6.11,183.0,"Composed of over 93% structured water and cucurbitacins; flushes metabolic toxins, reduces puffiness, and aids cellular hydration.","Eat unpeeled crisp slices with chaat masala, mix into chilled cucumber raita, or blend into detox green juices."
Bottle Gourd / Sorakkai,Lagenaria vulgaris,D007,11,0.53,0.13,1.68,2.12,15.42,0.26,4.33,124.0,"Super hydrating low-calorie vegetable; soothes digestive tract, acts as a gentle diuretic, and aids weight reduction diets.","Cook into sorakkai kootu, prepare comforting bottle gourd soup, or stew with lentils and mild spices."
Bitter Gourd / Pavakkai,Momordica charantia,D004,21,1.44,0.24,2.82,3.78,21.36,1.15,46.53,326.0,"Contains polypeptide-p and charantin; mimics insulin activity, enhances glucose uptake by cells, and purifies blood.","Drink small shots of fresh juice for diabetes management, make crispy shallow-fried chips, or cook pitlai/poriyal."
Ridge Gourd / Peerkangai,Luffa acutangula,D068,13,0.91,0.14,1.72,1.81,13.7,0.42,5.42,145.0,"Packed with dietary cellulose, peptides, and water; relieves sluggish bowel movements, cleanses liver bile, and balances acidity.","Cook peerkangai kootu with chana dal, make delicious peerkangai thogayal (chutney) using peel and flesh, or simmer in curries."
Pumpkin / Parangikkai,Cucurbita maxima,D066,23,0.84,0.16,4.0,2.56,23.06,0.36,8.04,284.0,"Rich in carotenoids (beta-carotene), potassium, and soluble fiber; boosts immune response, protects heart rhythm, and nourishes skin.","Cook parangikkai sambar/kootu, roast cubes with spices, or puree into comforting winter soups."
Drumstick / Moringa Pods,Moringa oleifera,D046,29,2.62,0.12,3.76,6.83,33.3,0.73,71.86,419.0,"Exceptional Vitamin C, zinc, and bio-calcium content; strengthens bone mineral density, purifies blood, and enhances male reproductive health.","Simmer in traditional drumstick sambar, extract pulp for moringa soup, or cook into spicy avial/kootu."
Green Peas (Fresh),Pisum sativum,D061,81,7.25,0.13,11.88,6.32,28.24,1.58,38.4,249.0,"High protein and dietary fiber for a vegetable; delivers sustained satiety, stabilizes post-meal blood sugar, and supports intestinal flora.","Steam lightly for sundal, add to vegetable pulao/upma, mash into parathas, or cook in matar paneer."
French Beans,Phaseolus vulgaris,D049,24,2.49,0.26,2.68,4.38,55.99,1.25,15.81,324.0,"Abundant in silicon, folate, and insoluble fiber; promotes bone collagen synthesis, supports pregnancy health, and prevents constipation.","Chop and sauté with grated coconut (beans poriyal), toss into vegetable kurma, or steam for stir-fried salads."
Capsicum / Bell Pepper (Green),Capsicum annuum,D033,16,1.11,0.34,1.84,2.06,14.75,0.48,123.0,154.0,"Outstanding concentration of Vitamin C (123 mg) and capsaicinoids; boosts collagen production, boosts metabolic rate, and enhances iron bioavailability.","Slice raw into salads/sandwiches, sauté in paneer/mushroom stir-fries, or stuff and bake with spiced grains."
