Food_Item,Scientific_Name,IFCT_Code,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Calcium_mg,Iron_mg,Magnesium_mg,Vitamin_E_mg,health_benefits,intake_methods,Key_Vitamin,Key_Vitamin_Value,Key_Vitamin_Unit,Vitamin_Explanation
Almond,Prunus amygdalus,H001,609,18.41,58.49,3.04,13.06,230.0,4.51,268.0,25.86,"Rich in alpha-tocopherol (Vitamin E), magnesium, and monounsaturated fats; lowers LDL cholesterol, regulates blood sugar, and enhances skin health.","Soak 5-6 almonds overnight, peel and eat in the morning; or consume raw/dry-roasted as a midday snack.",Vitamin E,25.86,mg,"Almonds are a notable dietary source of vitamin E, an antioxidant vitamin."
Peanut / Groundnut,Arachis hypogaea,H012,520,23.65,39.63,17.27,10.38,90.0,2.8,176.0,4.28,"High-density plant protein, resveratrol, and niacin (B3); supports muscle synthesis, heart health, and sustained satiety.","Boiled, dry-roasted without salt, prepared as natural peanut butter, or added to traditional sundal and poha.",Vitamin B3 (Niacin),12.1,mg,"Peanuts provide exceptionally high levels of niacin (vitamin B3), essential for cellular energy production and DNA repair."
Cashew,Anacardium occidentale,H005,583,18.78,45.2,25.46,3.86,37.0,5.9,292.0,1.6,"Abundant in copper, magnesium, and oleic acid; promotes red blood cell formation, supports bone integrity, and protects eye tissue.","Eat a small handful raw or lightly toasted, blend into dairy-free curry gravies, or mix into trail mixes.",Vitamin K,34.1,µg,"Cashews are a distinctive nut source of vitamin K, which works alongside magnesium and copper for bone integrity."
Walnut,Juglans regia,H021,671,14.92,64.27,10.14,5.39,98.0,2.6,158.0,4.12,"Outstanding dietary source of plant Omega-3 fatty acids (ALA) and polyphenols; boosts cognitive health, reduces arterial inflammation, and supports heart function.","Eat 2-3 soaked walnut halves on an empty stomach in the morning, crush over salads, or blend into morning smoothies.",Vitamin B6,0.54,mg,"Walnuts provide vitamin B6 and alpha-linolenic acid (ALA Omega-3), supporting neural communication and brain health."
Pistachio,Pistacia vera,H015,562,20.27,45.32,27.51,10.6,105.0,3.92,121.0,2.86,"Rich in lutein, zeaxanthin, and Vitamin B6; supports ocular wellness, aids neurotransmitter synthesis, and improves lipid profiles.","Snack on a small handful (unsalted, in-shell), chop over oatmeal and desserts, or add to grain bowls.",Vitamin B6,1.70,mg,"Pistachios are one of the most vitamin B6-dense foods in existence, providing key support for hemoglobin synthesis."
Sunflower Seeds,Helianthus annuus,H020,584,20.78,51.46,20.0,8.6,78.0,5.25,325.0,35.17,"High in Vitamin E, selenium, and phytosterols; shields cell membranes from oxidative stress and promotes cardiovascular wellness.","Eat raw or lightly roasted, sprinkle over salads and yogurt bowls, or blend into seed butter.",Vitamin E,35.17,mg,"Sunflower seeds are a phenomenal natural source of vitamin E, offering superior cellular lipid protection."
Pumpkin Seeds,Cucurbita pepo,H017,559,30.23,49.05,10.71,6.0,46.0,8.82,592.0,2.18,"Dense in bioavailable zinc, magnesium, and tryptophan; strengthens immune defenses, supports prostate health, and improves sleep quality.","Dry-roast with a pinch of rock salt, add to granola and trail mixes, or sprinkle over soups.",Vitamin K,51.4,µg,"Pumpkin seeds provide abundant vitamin K, zinc, and magnesium for musculoskeletal and prostate health."
Flax Seeds,Linum usitatissimum,H009,534,18.29,42.16,28.88,27.3,255.0,5.73,392.0,0.31,"Richest plant source of ALA Omega-3 and lignans; reduces blood pressure, supports hormonal balance, and enhances bowel regularity.","Grind freshly before consumption and add 1 tablespoon to warm water, curd, smoothies, or atta dough.",Vitamin B1 (Thiamine),1.64,mg,"Flax seeds supply rich amounts of thiamine (vitamin B1) to assist cellular energy conversion from dietary fats."
Chia Seeds,Salvia hispanica,Ref (USDA/FDC),486,16.54,30.74,42.12,34.4,631.0,7.72,335.0,0.5,"Exceptional soluble mucilage fiber and ALA Omega-3; creates slow-digesting satiety gel, stabilizes insulin, and hydrates colon.","Soak 1-2 teaspoons in water, coconut water, or milk for 15-20 minutes until gelled; add to puddings or juices.",Vitamin B3 (Niacin),8.83,mg,"Chia seeds provide substantial niacin (vitamin B3) alongside soluble mucilage fiber and plant omega-3s."
Sesame Seeds (White),Sesamum indicum,H019,563,18.26,43.3,25.02,16.9,1450.0,9.3,370.0,2.27,"Unrivaled calcium density and sesamin lignans; builds bone mineral density, protects liver function, and supports cartilage health.","Lightly roast and add to spice powders (idli podi), sprinkle over stir-fries, or prepare traditional ellu urundai.",Vitamin B1 (Thiamine),0.79,mg,"Sesame seeds are rich in thiamine (vitamin B1) and sesamin lignans, supporting nervous and cardiovascular functions."
