Food_Item,Scientific_Name,IFCT_Code,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Calcium_mg,Iron_mg,Magnesium_mg,Vitamin_E_mg,health_benefits,intake_methods
Almond,Prunus amygdalus,H001,609,18.41,58.49,3.04,13.06,230.0,4.51,268.0,25.86,"Rich in alpha-tocopherol (Vitamin E), magnesium, and monounsaturated fats; lowers LDL cholesterol, regulates blood sugar, and enhances skin health.","Soak 5-6 almonds overnight, peel and eat in the morning; or consume raw/dry-roasted as a midday snack."
Peanut / Groundnut,Arachis hypogaea,H012,520,23.65,39.63,17.27,10.38,90.0,2.8,176.0,4.28,"High-density plant protein, resveratrol, and niacin (B3); supports muscle synthesis, heart health, and sustained satiety.","Boiled, dry-roasted without salt, prepared as natural peanut butter, or added to traditional sundal and poha."
Cashew,Anacardium occidentale,H005,583,18.78,45.2,25.46,3.86,37.0,5.9,292.0,1.6,"Abundant in copper, magnesium, and oleic acid; promotes red blood cell formation, supports bone integrity, and protects eye tissue.","Eat a small handful raw or lightly toasted, blend into dairy-free curry gravies, or mix into trail mixes."
Walnut,Juglans regia,H021,671,14.92,64.27,10.14,5.39,98.0,2.6,158.0,4.12,"Outstanding dietary source of plant Omega-3 fatty acids (ALA) and polyphenols; boosts cognitive health, reduces arterial inflammation, and supports heart function.","Eat 2-3 soaked walnut halves on an empty stomach in the morning, crush over salads, or blend into morning smoothies."
Pistachio,Pistacia vera,H018,539,23.35,42.49,15.82,10.64,105.0,3.9,121.0,33.92,"Packed with lutein, zeaxanthin, Vitamin B6, and amino acids; supports ocular health, endothelial blood flow, and blood glucose control.","Consume unsalted roasted pistachios as a portion-controlled snack, or chop over oats and yogurt bowls."
Sunflower Seeds,Helianthus annuus,H020,586,23.53,51.85,6.85,10.8,116.0,5.0,325.0,23.1,"Potent concentration of Vitamin E, selenium, and phytosterols; shields cells against free radical oxidation, regulates cholesterol, and supports thyroid function.","Lightly dry-roast and sprinkle over green salads, mix into multigrain bread dough, or add to homemade granola."
Pumpkin Seeds,Cucurbita pepo,Ref (USDA/FDC),574,29.8,49.1,14.7,6.5,46.0,8.8,592.0,2.18,"Remarkable source of bioavailable zinc, magnesium, and tryptophan; supports prostate/bladder health, enhances testosterone synthesis, and improves restful sleep.","Consume 1 tablespoon dry-roasted seeds with spices, sprinkle over vegetable soups, or blend into energy bars."
Flax Seeds,Linum usitatissimum,H014,444,18.55,35.67,10.99,26.17,255.0,5.7,392.0,8.28,"Highest plant-based source of lignans (phytoestrogens), alpha-linolenic acid (ALA), and soluble mucilage fiber; aids hormonal balance, relieves constipation, and reduces blood pressure.","Grind into fresh flaxseed powder (whole seeds pass undigested) and mix 1 tablespoon into warm water, rotis, curd, or smoothies."
Chia Seeds,Salvia hispanica,Ref (USDA/FDC),486,16.5,30.7,42.1,34.4,631.0,7.7,335.0,0.5,"Massive hydrophilic soluble fiber and Omega-3 content; forms a soothing digestive gel, regulates glycemic spikes, supports prolonged hydration, and strengthens bone density.","Soak 1-2 teaspoons in water or milk for 15-20 minutes until gelled; use in chia puddings, detox lemon water, or fruit smoothies."
Sesame Seeds (White),Sesamum indicum,H011,519,21.7,43.05,10.83,16.99,1450.0,9.3,351.0,1.26,"Extraordinarily rich in non-dairy calcium, sesamin, and sesamolin; builds peak bone mineral density, supports joint lubrication, and assists blood pressure regulation.","Dry-roast and use in sesame chikki/ellu urundai, sprinkle over stir-fried dishes, make tahini paste, or blend into idli podi."
